n,s1,s3,s5
10,0.99753034660391027327,-0.24696533960897267331,0.30346603910273266861
11,0.9979547139737939375,-0.2474796091709335623,0.30496729031703896226
100,0.99997500312404741552,-0.24996875952584477085,0.31240474155229145003
101,0.99997549560093101579,-0.24996937490270788038,0.31240661747691229293
1000,0.99999975000031249905,-0.24999968750095311959,0.31249904688041010691
1001,0.99999975049956225092,-0.24999968812501306507,0.31249904878378295332
10000,0.99999999750000003125,-0.24999999687500009531,0.31249999046875054102
10001,0.99999999750049995625,-0.24999999687562500154,0.3124999904706565049
